Ticker,Date,Open,High,Low,Close,Volume,CEF_NAV,CEF_Discount,CEF_Price,ARO_DPTL_1YR,ARO_DPTL_1YR_NUM,ARO_DPTL_3YR,ARO_DPTL_3YR_NUM,ARO_DPTL_5YR,ARO_DPTL_5YR_NUM
EMF,2003-02-26,2.087654057249639,2.0980923175811768,2.0641679092867395,2.0980923175811768,21900,8.5,-5.41,8.04,,,,,,
EMF,2003-02-27,2.092873651464518,2.105921292345392,2.092873651464518,2.1007022857666016,15300,8.52,-5.52,8.05,,,,,,
EMF,2003-02-28,2.0928735168609274,2.100702150659511,2.0693872421635042,2.082435131072998,20800,8.52,-6.34,7.98,,,,,,
EMF,2003-03-03,2.10331130027771,2.1085303053349196,2.0954824193903083,2.10331130027771,13000,8.5,-5.18,8.06,,,,,,
EMF,2003-03-04,2.1007022073129353,2.1111404689484816,2.090263945677389,2.0928735733032227,39400,8.46,-5.2,8.02,,,,,,
EMF,2003-03-05,2.0980923282736312,2.0980923282736312,2.0511201565423276,2.07460618019104,24000,8.39,-5.24,7.95,,,,,,
EMF,2003-03-06,2.0615582267958388,2.0928731294958425,2.0615582267958388,2.087653875350952,8600,8.33,-3.96,8.0,,,,,,
EMF,2003-03-07,2.074605806277946,2.0850440647813584,2.0485101600194158,2.0772154331207275,18100,8.28,-3.86,7.96,,,,,,
EMF,2003-03-10,2.0719964873330277,2.0719964873330277,1.9910999145517039,1.9989285469055176,20000,8.19,-6.47,7.66,,,,,,
EMF,2003-03-11,1.9728332669443889,2.0198054431452466,1.9728332669443889,2.0171959400177,18300,8.18,-5.5,7.73,,,,,,
EMF,2003-03-12,2.0276339772608085,2.0276339772608085,1.9310800079707409,1.9702235460281372,25800,8.18,-7.7,7.55,,,,,,
EMF,2003-03-13,1.9676137864772327,2.0693868790374017,1.9676137864772327,2.061558246612549,30000,8.21,-3.78,7.9,,,,,,
EMF,2003-03-14,2.0485104392237123,2.0746060890389817,2.0485104392237123,2.0693869590759277,7500,8.25,-3.88,7.93,,,,,,
EMF,2003-03-17,2.0302437020034283,2.1059210300445557,1.9623948828554143,2.1059210300445557,53700,8.08,-0.12,8.07,,,,,,
EMF,2003-03-18,2.1007016031463497,2.10853023490453,2.0459006831036546,2.095482349395752,11400,8.28,-3.02,8.03,,,,,,
EMF,2003-03-19,2.0876540678888973,2.1059209613452423,2.066777547119429,2.07460618019104,14000,8.23,-3.4,7.95,,,,,,
EMF,2003-03-20,2.066777794780463,2.095482952061268,2.04851077470131,2.0928735733032227,23000,8.3,-3.37,8.02,,,,,,
EMF,2003-03-21,2.1007016299604184,2.2103034714448033,2.092872998102311,2.1789886951446533,49700,8.34,0.12,8.35,,,,,,
EMF,2003-03-24,2.1659411466595375,2.1659411466595375,2.1320167381694812,2.139845371246338,16300,8.27,-0.85,8.2,,,,,,
EMF,2003-03-25,2.1398451714034197,2.184207836142117,2.1267972849153787,2.1763792037963867,19900,8.28,0.72,8.34,,,,,,
